Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-545.0877	-569.2884	24.20062	0.0204014	0.131839	0.0487924	0.00425167	0.0315816	0.0231837	0.276746	0.0229131	0.0407729	0.0114275	0.0965799	0.0793896	0.0623365	0.359548	0.0287294	0.0899245	0.0132505	0.0883483	0.0291203	0.0246718	0.0204021	0.0742719	0.209557	0.0631048	0.149688	0.00740718	0.013671	0.0279491	0.0869767	3.05853	0.176588	0.8163921	1.183608	0.0294087	0.17909	0.584753	1.71012	5.58378	34.0035	2.549876	1.449803	6.92807	0.00954747	0.0616984	0.0228339	0.0019897	0.0147796	0.0108496	0.129512	0.0107229	0.019081	0.00534787	0.0451976	0.0371529	0.0291724	0.168262	0.0134448	0.042083	0.00620097	0.0413454	0.0136278	0.011546	0.00954779	0.0347579	0.098069	0.0295319	0.0700511	0.00346642	0.00639779	0.0130797	0.0407035	0.591804	0.408196	2.136836
36	-541.9308	-564.134	22.20323	0.0164089	0.0189829	0.0218755	0.00306374	0.0359573	0.00123845	0.0290394	0.00638525	0.0384868	0.0681281	0.0458337	0.0170532	0.00440382	0.0309814	0.0115587	0.0642836	0.0029642	0.00506138	0.0244662	0.00456278	0.0108217	0.00297311	0.0309755	0.00773505	0.0591424	0.00831517	0.0305513	0.0132377	0.0182829	3.3981	0.0407587	0.9779486	1.022051	0.00373362	0.0654518	0.427159	2.34105	15.2784	267.836	4.042227	1.045097	33.34848	0.0259319	0.0299997	0.0345709	0.00484179	0.0568252	0.0019572	0.0458925	0.0100909	0.0608227	0.107666	0.0724334	0.02695	0.00695958	0.0489616	0.0182669	0.101591	0.00468449	0.00799877	0.0386653	0.00721081	0.0171021	0.00469856	0.0489522	0.0122241	0.0934658	0.0131409	0.0482818	0.0209202	0.0288934	0.511026	0.488974	0.63277
72	-540.0197	-561.806	21.78628	0.0325107	0.0459613	0.0140717	0.0017085	0.0570166	0.000465141	0.0781804	0.0326332	0.0348668	0.00358892	0.0420296	0.0149658	0.0137868	0.0126842	0.0243713	0.0980052	0.0596495	0.0371158	0.0192576	0.0513848	0.0572711	0.000678444	0.0361778	0.044605	0.117481	0.0216498	0.0190252	0.024851	0.0884339	3.41356	0.0345768	1.003163	0.9968366	0.00504586	0.0758081	0.44719	2.23619	13.1912	198.182	3.824447	0.9936931	39.48963	0.0299796	0.042383	0.0129762	0.00157548	0.0525776	0.000428928	0.0720937	0.0300926	0.0321523	0.00330951	0.0387574	0.0138007	0.0127134	0.0116967	0.0224739	0.0903751	0.0550055	0.0342262	0.0177583	0.0473843	0.0528123	0.000625624	0.0333612	0.0411323	0.108335	0.0199643	0.017544	0.0229163	0.081549	0.498418	0.501582	1.084427
108	-539.5084	-562.8954	23.38699	0.00990779	0.00792287	0.0074564	0.0148522	0.0264879	0.000763696	0.0612181	0.0013445	0.0232139	0.00188975	0.0171922	0.0393529	0.0079478	0.0551145	0.00911375	0.0722955	0.0328738	0.0529704	0.00135622	0.0472381	0.01181	0.00873681	0.0149171	0.0186403	0.00834801	0.0368214	0.0111277	0.0364223	0.0641124	3.30017	0.0799308	0.790484	1.209516	0.00618128	0.0836957	0.461215	2.16819	11.948	161.779	3.677694	1.530096	16.51515	0.0141248	0.011295	0.01063	0.0211736	0.0377617	0.00108874	0.0872738	0.00191675	0.0330943	0.00269407	0.0245095	0.0561023	0.0113306	0.0785724	0.0129928	0.103066	0.0468656	0.0755158	0.00193346	0.0673436	0.0168366	0.0124554	0.0212662	0.0265741	0.0119011	0.0524934	0.0158639	0.0519244	0.0914	0.604758	0.395242	0.7014482
144	-535.4798	-560.7214	25.24156	0.00353408	0.00180623	0.00315628	0.00446361	0.00254141	4.62725e-05	0.0189906	0.00434359	4.49744e-05	0.00176059	0.00721076	0.00884779	0.00751125	0.0035663	0.00162711	0.0181024	0.00409292	0.0156681	0.00163435	0.00398913	0.00156406	0.00852589	0.00076356	0.00323553	0.00403194	0.0255854	0.00376171	0.00291744	0.00945602	2.87615	0.24954	0.9387673	1.061233	0.0054421	0.0786552	0.452363	2.21061	12.7137	183.753	3.769785	1.130453	4.610324	0.0204543	0.0104539	0.0182677	0.0258341	0.014709	0.000267812	0.109913	0.0251395	0.0002603	0.0101898	0.0417339	0.0512086	0.0434731	0.0206407	0.00941728	0.104772	0.0236887	0.0906828	0.00945916	0.023088	0.00905236	0.0493455	0.00441928	0.0187264	0.0233358	0.148081	0.0217718	0.0168853	0.0547289	0.530616	0.469384	0.1727794
180	-532.3638	-557.5117	25.14791	0.00168489	0.00879323	0.000327893	0.00126399	0.00463249	0.000735806	0.019607	4.19944e-05	1.8247e-05	0.00748906	0.0285471	0.000892177	0.000951312	0.025017	0.00303498	0.0339806	0.000551554	0.0029027	0.0032749	0.000973005	0.0151103	0.00519292	0.00242374	0.00425177	0.00623513	0.00437833	0.0169558	0.00732525	0.000699874	2.93201	0.227195	1.004488	0.995512	0.00422895	0.0695517	0.435333	2.29709	14.3778	236.465	3.95215	0.9910641	5.162119	0.00812806	0.0424193	0.00158179	0.00609758	0.0223475	0.00354959	0.0945857	0.000202585	8.80252e-05	0.0361279	0.137714	0.00430394	0.00458921	0.120684	0.014641	0.163925	0.00266075	0.0140029	0.0157984	0.00469386	0.0728934	0.0250511	0.0116923	0.0205109	0.0300788	0.0211215	0.0817964	0.0353376	0.00337625	0.497756	0.502244	0.207293
216	-529.2576	-555.9705	26.71282	0.0137242	0.0133815	0.0178373	0.00521918	0.0238834	0.00339993	0.0993484	0.0299878	0.00320636	0.058475	0.0688846	0.00354949	0.0464099	0.0808307	0.014729	0.21465	0.0193607	0.0108265	0.121079	0.0822542	0.0477657	0.139527	0.0269628	0.0293024	0.0416384	0.0623136	0.0477125	0.00542341	0.0534312	2.56566	0.373736	0.8714954	1.128505	0.0316977	0.185758	0.59146	1.69073	5.38335	31.548	2.495679	1.294906	2.74596	0.00990834	0.00966092	0.0128779	0.00376805	0.0172429	0.00245462	0.0717258	0.0216501	0.00231487	0.0422167	0.0497321	0.0025626	0.0335062	0.0583567	0.0106338	0.154969	0.0139777	0.0078163	0.0874147	0.0593844	0.034485	0.100733	0.0194661	0.0211552	0.0300613	0.0449881	0.0344466	0.0039155	0.0385753	0.564252	0.435748	1.385113
252	-532.9978	-560.8174	27.81964	0.00194327	0.00441269	0.0041464	0.00182787	0.0155369	0.00417478	0.0272396	0.0176276	0.00514818	0.0371053	0.0255535	0.00645487	0.0100257	0.032518	0.0132401	0.0509557	0.00426802	0.0200525	0.0308386	0.0135253	0.00830965	0.0474309	0.00611832	0.0127584	0.0351141	0.0335933	0.00129221	0.0219676	0.00841891	2.50843	0.396628	1.08055	0.91945	0.0250106	0.165486	0.570516	1.7528	6.04281	39.983	2.667007	0.8509093	2.529754	0.00387416	0.00879724	0.00826637	0.0036441	0.0309748	0.00832295	0.0543056	0.0351429	0.0102635	0.0739742	0.0509441	0.0128686	0.0199874	0.0648288	0.0263957	0.101587	0.00850884	0.0399773	0.0614807	0.0269645	0.0165663	0.0945596	0.0121976	0.0254355	0.0700044	0.0669726	0.00257619	0.0437952	0.0167842	0.459725	0.540275	0.5015986
288	-532.1252	-560.1759	28.05072	0.0183813	0.0497235	0.0186584	0.01903	0.00759755	0.0060212	0.0974154	0.00960329	0.0135695	0.0300837	0.00576107	0.018794	0.00799142	0.0678051	0.00931123	0.190734	0.0177801	0.0466118	0.0415875	0.00826819	0.0474555	0.0236496	0.0153591	0.0155552	0.0369259	0.0518023	0.0453682	0.0215938	0.0322274	2.36461	0.454157	0.9925665	1.007434	0.0466742	0.224339	0.627328	1.59406	4.45753	21.4251	2.215891	1.014978	2.082633	0.0188591	0.051016	0.0191434	0.0195246	0.00779504	0.00617771	0.0999476	0.00985291	0.0139222	0.0308656	0.00591082	0.0192825	0.00819915	0.0695675	0.00955326	0.195692	0.0182423	0.0478234	0.0426685	0.0084831	0.048689	0.0242644	0.0157583	0.0159595	0.0378857	0.0531488	0.0465475	0.0221551	0.0330651	0.503717	0.496283	0.9746651
324	-530.6109	-558.1513	27.5404	0.0561493	0.0580239	0.00843196	0.0132577	0.0600134	0.00123775	0.173651	0.00704631	0.00558882	0.190075	0.066884	0.0461708	0.122788	0.174249	0.0667427	0.250877	0.0324145	0.298177	0.083914	0.0397615	0.0777418	0.0212806	0.023179	0.0115994	0.187148	0.126052	0.143187	0.0447296	0.124271	1.49953	0.800189	0.9057117	1.094288	0.126651	0.365039	0.730227	1.36944	2.73943	7.89573	1.494093	1.208208	0.7495866	0.022329	0.0230744	0.00335314	0.0052722	0.0238656	0.000492219	0.0690559	0.00280211	0.00222251	0.0755875	0.0265978	0.0183608	0.048829	0.0692937	0.0265416	0.0997665	0.0128903	0.118576	0.0333701	0.015812	0.0309156	0.00846268	0.00921763	0.00461274	0.0744234	0.0501273	0.0569413	0.0177877	0.049419	0.547144	0.452856	2.514642
